Name,Pronouns,COC,Email,Phone,Constitution,Seattle Situationer,12-Year History,5 Golden Rays,PSR,CASER,Peace Talks,Martial Law,Neoliberalism
Levi Ackerman,he/him,North,xxx@gmail.com,206-000-000,X,,,,X,X,X,,X
Mohammed Avdol,he/they,Central,xxx@gmail.com,206-000-000,X,X,,,X,X,X,,X
Jean Pierre Polnereff,she/her,South,xxx@gmail.com,206-000-000,X,X,X,,X,X,X,,X
Jotaro Joestar,they/them,North,xxx@gmail.com,206-000-000,X,X,X,X,X,X,X,X,X
Joseph Joestar,he/him,Central,xxx@gmail.com,206-000-000,X,X,X,X,X,X,X,X,X
Noriaki Kakyoin,she/they,South,xxx@gmail.com,206-000-000,X,X,X,X,X,X,X,X,X
Smoikey Brown,he/him,South,xxx@gmail.com,206-000-000,X,X,X,X,X,X,X,X,X
Josuke Higashikata,he/they,North,xxx@gmail.com,206-000-000,X,X,X,X,,X,X,X,
Ceasar Zeppeli,she/her,Central,xxx@gmail.com,206-000-000,X,X,X,X,,X,X,X,
Dio Brando,they/them,North,xxx@gmail.com,206-000-000,X,X,,X,,X,X,X,
Iggy,he/him,Central,xxx@gmail.com,206-000-000,X,X,,X,,X,X,,
Esidisi,she/they,North,xxx@gmail.com,206-000-000,X,X,,X,,X,X,,
Wamuu,he/him,Central,xxx@gmail.com,206-000-000,X,,X,X,,X,X,,
Kars,he/they,North,xxx@gmail.com,206-000-000,X,,X,X,X,,X,X,X
Robert E. O. Speedwagon,she/her,North,xxx@gmail.com,206-000-000,X,,X,X,X,,X,X,X
Reiner Braun,they/them,North,xxx@gmail.com,206-000-000,X,,X,,X,,X,X,X
Marco Bodt,he/him,North,xxx@gmail.com,206-000-000,X,,X,,X,,X,X,X
Eren Jaeger,she/they,North,xxx@gmail.com,206-000-000,X,,X,,X,,X,X,X
Armin Artelt,she/they,Central,xxx@gmail.com,206-000-000,X,,X,,X,,X,X,X
Glenn Rhee,he/him,South,xxx@gmail.com,206-000-000,X,,,,X,,,X,X
